Nro,Sääntö_ID_en,Kuvaus,Selkokielinen paluuarvo,Virheviestin parametrit,Elinkaarivaihe,Luokka.attribuutti,Koodiarvo
28,lifecycle/req-spatialplan-class-allowed,"Hyväksytty, lainvoimainen ja voimassa elinkaarivaiheissa vain yksi kaava sallittu.",Vain yksi kaava sallittu {0}-elinkaaritilassa.,{0} = elinkaaritila,"Hyväksytty, Lainvoimainen, Voimassa",KaavaAsianVaihe.elinkaaritila,
29,quality/rec-codelist-spatialplanregulationtype-plantype-conformity,"Kaavamääräyslaji-koodit on luokiteltu kaavalajeittain, joiden mukaisesti niitä tulee käyttää. Luokituksen löydät Kaavamääräyslaji- koodiston Laajennukset-välilehdeltä (Asema-, yleis- ja maakuntakaava).",Kaavamääräyslaji-koodi ei ole sallittu {0}-kaavalajilla,{0} = kaavalaji,"Valmistelu, Kaavaehdotus, Muutettu kaavaehdotus, Hyväksytty kaava, Lainvoimainen, Voimassa",Kaavamääräys.laji,
30,quality/req-property-not-empty,Pakolliset skeeman mukaiset attribuutit eivät saa olla tyhjiä sanomassa.,{0}-luokan {1}-attribuutti ei saa olla tyhjä.,"{0} = luokka, {1} = attribuutti","Vireilletullut, Valmistelu, Kaavaehdotus, Muutettu kaavaehdotus, Hyväksytty kaava, Lainvoimainen, Voimassa",Koko tietomalli,
31,quality/req-property-datatype-not-allowed,Skeeman mukaiset attribuutit tulee vastata niille asetettuja tietotyyppejä.,{0}-luokan {1}-attribuutin tietotyyppi ei ole kelvollinen. Sallittu tietotyyppi on {2}.,"{0} = luokka, {1} = attribuutti, {2} = tietotyyppi","Vireilletullut, Valmistelu, Kaavaehdotus, Muutettu kaavaehdotus, Hyväksytty kaava, Lainvoimainen, Voimassa",Koko tietomalli,
32,quality/req-validitytime-datatype-not-allowed,Voimassaoloaika attribuutti pitää olla päivämäärä.,{0}-luokan {1}-attribuutin tietotyyppi ei ole kelvollinen. Ainoastaan Date-tyyppiset päivämäärät sallittuja.,"{0} = luokka, {1} = attribuutti","Valmistelu, Kaavaehdotus, Muutettu kaavaehdotus, Hyväksytty kaava, Lainvoimainen, Voimassa","Kaava.voimassaoloAika , Kaavakohde.voimassaoloAika, Kaavamääräys.voimassaoloAika, Kaavasuositus.voimassaoloAika",
33,quality/req-geom-area-prohibited-cutting,"Aluemaisen geometrian ulkoreunan ja reikien reunaviivat eivät saa leikata itseään tai toisiaan. Kukin reunaviiva saa koskettaa alueen ulkoreunaa tai reiän reunaa, mukaanlukien se itse, vain yksittäisissä pisteissä.",{0}-luokan {1}-attribuutin aluegeometria leikkaa itseään,"{0} = luokka, {1} = attribuutti","Vireilletullut, Valmistelu, Kaavaehdotus, Muutettu kaavaehdotus, Hyväksytty kaava, Lainvoimainen, Voimassa","KaavaAsianVaihe.aluerajaus, Lähtötietoaineisto.aluerajaus, Kaava.aluerajaus, Kaavakohde.geometria",
34,quality/req-geom-area-edge-line-closure,"Aluemaisen geometrian reunaviivan on oltava suljettu, eli sen alku- ja loppuppisteiden on oltava samat.",{0}-luokan {1}-attribuutin aluegeometria ei ole sulkeutuva,"{0} = luokka, {1} = attribuutti","Vireilletullut, Valmistelu, Kaavaehdotus, Muutettu kaavaehdotus, Hyväksytty kaava, Lainvoimainen, Voimassa","KaavaAsianVaihe.aluerajaus, Lähtötietoaineisto.aluerajaus, Kaava.aluerajaus, Kaavakohde.geometria",
35,quality/req-geom-not-allowed,Geometria on virheellinen.,Geometria virheellinen. Tarkista geometria.,,"Vireilletullut, Valmistelu, Kaavaehdotus, Muutettu kaavaehdotus, Hyväksytty kaava, Lainvoimainen, Voimassa",,
36,quality/req-geom-spatialplancase-spatialplan-geographicarea-prohibited-cutting,"Valmistelu, kaavaehdotus, muutettu kaavaehdotus elinkaarivaiheissa kaavan aluerajaus ei saa ylittää KaavaAsian aluerajausta ja sen tulee olla pienempi tai yhtäsuuri kuin KaavaAsian aluerajaus.",Kaavan aluerajaus ei saa ylittää KaavaAsian aluerajausta ja sen tulee olla pienempi tai yhtäsuuri kuin KaavaAsian aluerajaus.,,"Vireilletullut, Valmistelu, Kaavaehdotus, Muutettu kaavaehdotus, Hyväksytty kaava, Lainvoimainen, Voimassa","Kaava.aluerajaus, KaavaAsianVaihe.aluerajaus",
37,quality/req-geom-spatialplan-spatialplanobject-prohibited-cutting,Kaavakohteet eivät saa mennä Kaava-luokan aluerajauksen ulkopuolelle missään elinkaarivaiheessa.,Kaavakohteet eivät saa mennä Kaava-luokan aluerajauksen ulkopuolelle.,,"Valmistelu, Kaavaehdotus, Muutettu kaavaehdotus, Hyväksytty kaava, Lainvoimainen, Voimassa","Kaavakohde.geometria, Kaava.aluerajaus",
38,quality/req-geom-spatialplanobject-spatialplanregulationtype-area-reservation-prohibited-cutting,Lisätiedonlaji-koodiston arvolla paakayttotarkoitus olevat aluevaraukset eivät saa leikata toisiaan.,Lisätiedonlaji-koodiston arvolla paakayttotarkoitus olevat aluevaraukset eivät saa leikata toisiaan. Aluevaraukset eivät muodosta eheää yhtenäistä topologista pintaa.,,"Valmistelu, Kaavaehdotus, Muutettu kaavaehdotus, Hyväksytty kaava, Lainvoimainen, Voimassa","Lisätieto.laji, Kaavakohde.geometria",
39,quality/req-geom-spatialplan-overlapping-geographicarea,"Ryhti-järjestelmässä ei voi olla kahta tai useampaa Kaava-luokan objektia, joiden KaavaAsia-luokan kaavalaji-attribuutin koodiarvot ovat samat,  Kaava-luokan voimassaoloAika-attribuutin arvojen kuvaamat aikavälit ovat sisäkkäisiä tai lomittain, ja aluerajaus-attribuuttien kuvaavat geometriat leikaavat toisiaan tai ovat sisäkkäisiä.","Ryhti-järjestelmässä ei voi olla kahta tai useampaa Kaava-luokan objektia, joiden KaavaAsia-luokan kaavalaji-attribuutin koodiarvot ovat samat, Kaava-luokan voimassaoloAika-attribuutin arvojen kuvaamat aikavälit ovat sisäkkäisiä tai lomittain, ja aluerajaus-attribuuttien kuvaavat geometriat leikaavat toisiaan tai ovat sisäkkäisiä.",,Voimassa,"KaavaAsia.kaavalaji, Kaava.voimassaoloAika, Kaava.aluerajaus",
