Nro,Sääntö_ID_en,Kuvaus,Selkokielinen paluuarvo,Virheviestin parametrit,Elinkaarivaihe,Luokka.attribuutti,Koodiarvo
86,lifecycle/req-codelist-regionalplan-interactioneventtype-set-statement-proposal,"Ehdotusvaiheessa lausunnoille asettaminen kokonaismaakuntakaavan tai vaihemaakuntakaavan osalta, tulee vuorovaikutustapahtuman lajiksi asettaa 02 -Lausuntopyyntö.","Kaavalajin ollessa {0} tai {1} elinkaaritilassa {2}, tulee olla annettu Vuorovaikutustapahtuma-luokan laji-attribuutin arvoksi koodiarvo {3}","{0} = kaavalaji, {1} = kaavalaji, {2} = elinkaaritila, {3}-koodisto",Kaavaehdotus,"KaavaAsianVaihe.elinkaaritila, KaavaAsia.kaavalaji, Vuorovaikutustapahtuma.laji",{0}=http://uri.suomi.fi/codelist/rytj/RY_Kaavalaji/code/11 {1}=http://uri.suomi.fi/codelist/rytj/RY_Kaavalaji/code/12 {2}=http://uri.suomi.fi/codelist/rytj/kaavaelinkaari/code/04 {3}=http://uri.suomi.fi/codelist/rytj/RY_KaavanVuorovaikutustapahtumanLaji/code/02
87,lifecycle/req-codelist-regionalplan-handlingeventtype-set-statement-proposal,"Ehdotusvaiheessa lausunnoille asettaminen kokonaismaakuntakaavan tai vaihemaakuntakaavan osalta, tulee käsittelytapahtuman lajiksi asettaa 08 -Viranomaislausuntokierros.","Kaavalajin ollessa {0} tai {1} elinkaaritilassa {2}, tulee olla annettu Käsittelytapahtuma-luokan laji-attribuutin arvoksi koodiarvo {3}","{0} = kaavalaji, {1} = kaavalaji, {2} = elinkaaritila, {3}-koodisto",Kaavaehdotus,"KaavaAsianVaihe.elinkaaritila, KaavaAsia.kaavalaji, Käsittelytapahtuma.laji",{0}=http://uri.suomi.fi/codelist/rytj/RY_Kaavalaji/code/11 {1}=http://uri.suomi.fi/codelist/rytj/RY_Kaavalaji/code/12 {2}=http://uri.suomi.fi/codelist/rytj/kaavaelinkaari/code/04 {3}=http://uri.suomi.fi/codelist/rytj/kaavakastap/code/08
88,lifecycle/req-codelist-regionalplan-spatialplandecisionname-set-statement-proposal,"Ehdotusvaiheessa lausunnoille asettaminen kokonaismaakuntakaavan tai vaihemaakuntakaavan osalta, tulee kaavapäätöksen nimeksi asettaa 07 -Kaavaehdotuksen asettaminen lausunnoille.","Kaavalajin ollessa {0} tai {1} elinkaaritilassa {2}, tulee olla annettu KaavaAsianPäätös-luokan nimi-attribuutin arvoksi koodiarvo {3}","{0} = kaavalaji, {1} = kaavalaji, {2} = elinkaaritila, {3}-koodisto",Kaavaehdotus,"KaavaAsianVaihe.elinkaaritila, KaavaAsia.kaavalaji, KaavaAsianPäätös.nimi",{0}=http://uri.suomi.fi/codelist/rytj/RY_Kaavalaji/code/11 {1}=http://uri.suomi.fi/codelist/rytj/RY_Kaavalaji/code/12 {2}=http://uri.suomi.fi/codelist/rytj/kaavaelinkaari/code/04 {3}=http://uri.suomi.fi/codelist/rytj/kaavpaatnimi/code/07
89,quality/req-languagestring-not-empty,Tekstimuotoinen arvo on annettava vähintään yhdellä kielellä.,Tekstimuotoinen arvo annettava vähintään yhdellä kielellä.,,"Vireilletullut, Valmistelu, Kaavaehdotus, Muutettu kaavaehdotus, Hyväksytty kaava, Lainvoimainen, Voimassa",Koko tietomalli,
90,quality/req-spatialplanobject-spatialplanregulationgroup-not-empty,Kaavakohteeseen tulee liittyä vähintään yksi kaavamääräysryhmä.,Vähintään yhden kaavamääräysryhmän tulee liittyä kaavakohteeseen.,,"Valmistelu, Kaavaehdotus, Muutettu kaavaehdotus, Hyväksytty kaava, Lainvoimainen, Voimassa","Kaavakohde, Kaavamääräysryhmä",
91,quality/req-spatialplanregulationgroup-spatialplanobject-not-empty,Kaavamääräysryhmään tulee liittyä vähintään yksi kaavakohde.,Vähintään yhden kaavakohteen tulee liittyä kaavamääräysryhmään.,,"Valmistelu, Kaavaehdotus, Muutettu kaavaehdotus, Hyväksytty kaava, Lainvoimainen, Voimassa","Kaavamääräysryhmä, Kaavakohde",
92,quality/req-codelist-spatialplanregulationtype-allowed-datatypes,Sallitut arvot ovat kaavamääräyslajikohtaisia.,{0} ei ole sallittu tietotyyppi kaavamääräyslajille {1}. Sallitut tietotyypit ovat: {2},{0} - saatu tietotyyppi (tyypin nimi) {1} - saatu kaavamäräyslaji (uri) {2} - lista saadulle kaavamääräyslajille sallituista tietotyypeistä,"Valmistelu, Kaavaehdotus, Muutettu kaavaehdotus, Hyväksytty kaava, Lainvoimainen, Voimassa","Kaavamääräys.laji, Kaavamääräys.arvo",
93,lifecycle/req-spatialplan-not-allowed-lifecycle,"Kaava-luokka ei sallittu, jos elinkaaritila on Vireille tullut, Valituksen alainen, Oikaisukehotuksen alainen tai Oikaisukehotuksen alainen ja valituksen alainen.","Kaava-luokka ei sallittu, jos elinkaaritila on {0}.",{0} = elinkaaritila,Vireilletullut,"KaavaAsianVaihe.elinkaaritila, Kaava",
94,lifecycle/req-spatialplan-not-null-lifecycle,"Kaava-luokka ei saa olla tyhjä, jos elinkaaritila on Kaavaehdotus, Muutettu kaavaehdotus, Hyväksytty kaava, Lainvoimainen, Voimassa.","Kaava-luokka ei saa olla tyhjä, jos elinkaaritila on {0}.",{0} = elinkaaritila,"Kaavaehdotus, Muutettu kaavaehdotus, Hyväksytty kaava, Lainvoimainen, Voimassa","KaavaAsianVaihe.elinkaaritila, Kaava",
95,quality/req-codelist-codevalue-headerlevel,Koodiarvo on jäsentävä otsikko eikä ole sallittu.,"{0}-koodi on jäsentävä otsikkotason koodi, jota ei sallita.",{0} = koodisto,"Vireilletullut, Valmistelu, Kaavaehdotus, Muutettu kaavaehdotus, Hyväksytty kaava, Lainvoimainen, Voimassa",Koko tietomalli,
96,lifecycle/req-codelist-plandecision-name-codevalue-changed-proposal-reversed,Kun elinkaarentila on 04 (Kaavaehdotus) asema tai yleiskaavassa tulee kaavapäätöksen nimi olla 08 (Kaavaehdotuksen nähtäville asettaminen).,Asemakaavan ja yleiskaavan kaavalajeille elinkaarentilassa {0} tulee kaava-asian päätöksen nimiatribuutin arvo tulee olla {1},"{0} = elinkaaritila, {1} = koodisto",Kaavaehdotus,"KaavaAsianVaihe.elinkaaritila, KaavaAsia.kaavalaji, KaavaAsianPäätös.nimi",{1}=http://uri.suomi.fi/codelist/rytj/kaavpaatnimi/code/08
97,lifecycle__req_codelist_interactionevent_codevalue_lifecycles_conformity_reversed,Asema- ja yleiskaavassa vuorovaikutustapahtuman tulee olla 01 (Nähtävilläolo) kun kaavan elinkaarentila on 04 (Kaavaehdotus).,"Vuorovaikutustapahtuman on oltava {0}, jos elinkaari on {1} ja kaavalaji on jotain muuta kuin {2} tai {3}","{0}=koodisto, {1} =elinkaaritila, {2}=kaavalaji, {3}=kaavalaji",Kaavaehdotus,"KaavaAsianVaihe.elinkaaritila, KaavaAsia.kaavalaji, Vuorovaikutustapahtuma.laji",{0}=http://uri.suomi.fi/codelist/rytj/RY_KaavanVuorovaikutustapahtumanLaji/code/01 {2}=http://uri.suomi.fi/codelist/rytj/RY_Kaavalaji/code/11 {3}=http://uri.suomi.fi/codelist/rytj/RY_Kaavalaji/code/12
98,quality/req-descriptoridentifier-form,Liiteasiakirjan asiasanan asiasananTunnus-attribuutin muoto ei ole kelvollinen.,Liiteasiakirjan asiasanan asiasananTunnus-attribuutin muoto ei ole kelvollinen.,,"Vireilletullut, Valmistelu, Kaavaehdotus, Muutettu kaavaehdotus, Hyväksytty kaava, Lainvoimainen, Voimassa",Asiasana.asiasananTunnus,
99,lifecycle/req-codelist-regionalplan-handlingevent-approved-spatialplan,Kaavalajin ollessa 11 (Kokonaismaakuntakaava) tai 12 (Vaihemaakuntakaava) elinkaarentilassa 06 (Hyväksytty kaava) tulee käsittelytapahtumanlajin olla 11 (kaavan hyväksyminen).,"Kaavalajin ollessa {0} tai {1} elinkaaritilassa {2}, tulee annetun Käsittelytapahtumalajin koodiarvon olla {3}","{0} = kaavalaji, {1} = kaavalaji, {2} = elinkaaritila, {3} = koodisto",Hyväksytty kaava,"KaavaAsia.kaavalaji, KaavaAsianVaihe.elinkaaritila, Käsittelytapahtuma.laji",{0}=http://uri.suomi.fi/codelist/rytj/RY_Kaavalaji/code/11 {1}=http://uri.suomi.fi/codelist/rytj/RY_Kaavalaji/code/12 {3}=http://uri.suomi.fi/codelist/rytj/kaavakastap/code/11
100,lifecycle/req-codelist-interactionevent-codevalue-lifecycle,"Elinkaarentiloissa 03 (Valmistelu), 04 (kaavaehdotus) tai 05 (Muutettu kaavaehdotus) tulee vuorovaikutustapahtuman olla 01 (Nähvilläolo)","Vuorovaikutustapahtuman on oltava {0}, jos elinkaari on {1}","{0} = koodisto, {1} = elinkaari","Valmistelu, Kaavaehdotus, Muutettu kaavaehdotus","Vuorovaikutustapahtuma.laji, KaavaAsianVaihe.elinkaaritila",{0}=http://uri.suomi.fi/codelist/rytj/RY_KaavanVuorovaikutustapahtumanLaji/code/01
101,quality/rec-geom-interruptedinfo-allowed,KaavanKeskeytystieto-luokan aluerajaus ei saa leikata eikä mennä Kaava-luokan aluerajauksen sisäpuolelle.,KaavanKeskeytystieto-luokan aluerajaus ei saa leikata eikä mennä Kaava-luokan aluerajauksen sisäpuolelle.,,"Valmistelu, Kaavaehdotus, Muutettu kaavaehdotus, Hyväksytty kaava","KaavanKeskeytystieto.keskeytettyKaavanAlue, Kaava.aluerajaus",
102,quality/req-codelist-generalregulationgroup-additionalinfotype-not-allowed,Kaavan yleismääräys ei voi olla pääkäyttötarkoitus tai osa-alue.,"Yleismääräysryhmä-luokkaan ei voi liittyä kaavamääräyslajia, jonka lisätiedonlaji on osa-alue tai pääkäyttötarkoitus.",,"Vireilletullut, Valmistelu, Kaavaehdotus, Muutettu kaavaehdotus, Hyväksytty kaava, Lainvoimainen, Voimassa","Yleismääräysryhmä, Kaavamääräys.laji, Lisätieto.laji, ",
103,lifecycle/req-spatialplan-cancellation-spatialplanid,Kumoutumistiedoissa oleva pysyväKaavatunnus ei löydy Ryhti-järjestelmästä.,Tallennus epäonnistui. kumottavanKaavanTunnus-attribuutin arvoa vastaavaa kaavaa ei löytynyt. Tarkista kumottavanKaavanTunnus-attribuutin arvo.,,Kumoutunut,"KaavanKumoutumistieto.kumottavanKaavanTunnus, OsittainkumottavanKaavakohteenTieto.kumottavanKaavanTunnus",
104,lifecycle/req-spatialplan-cancellation-spatialplanobject,Kumoamistiedoissa kumottavan kaavakohteentunnus tai osittain kumottavan kaavakohteen tunnusta ei löydy Ryhti- järjestelmästä.,Tallennus epäonnistui. {0}-attribuutin arvoa vastaavaa kaavakohdetta ei löytynyt. Tarkista {0}-attribuutin arvo.,{0} = attribuutti,Kumoutunut,"KaavanKumoutumistieto.kumottavanKaavakohteenTunnus, OsittainkumottavanKaavakohteenTieto.osittainKumottavanKaavakohteenTunnus",
105,lifecycle/req-spatialplan-partially-cancellation-validitygeometry-not-empty,Osittain kumottavista kohteista tulee toimittaa myös geometria voimaan jääneen osan osalta.,Tallennus epäonnistui. voimassaolevaGeometria-attribuutin arvo ei saa olla tyhjä.,,Kumoutunut,OsittainkumottavanKaavakohteenTieto.voimassaolevaGeometria,
106,quality/req-plantype-spatialplanidentifier-mismatch,"Pysyvän kaavatunnuksen muoto tulee olla oikea sekä vastata kaavalajia. Esim. Asemakaava-kaavalajien pysyvät kaavatunnukset alkavat AK-etukirjainkirjainkoodilla, Yleiskaava-kaavalajien pysyvät kaavatunnukset alkavat YK-etukirjainkirjainkoodilla ja Maankuntakaava-kaavalajien pysyvät kaavatunnukset alkavat MK-etukirjainkirjainkoodilla. Etukirjainkoodin jälkeen tulee 6 numeroinen luku, huom. 000000 ei sallittu. Esimerkki asemakaavan pysyvästä tunnisteesta: AK-000001.",Kaavalaji {0} ja pysyvaKaavatunnus {1} ei vastaa toisiaan. Tarkista kaavalajin ja pysyvän kaavatunnuksen vastaavuus.,"{0} = kaavalaji, {1} = pysyva kaavatunnus","Vireilletullut, Valmistelu, Kaavaehdotus, Muutettu kaavaehdotus, Hyväksytty kaava, Lainvoimainen, Voimassa","KaavaAsia.kaavalaji, KaavaAsia.pysyväKaavaTunnus",
107,lifecycle/req-interruptedinfo-not-allowed-lifecycles,"KaavanKeskeytystieto-luokka saa ilmentyä vain Valmistelu-, Kaavaehdotus-, Muutettu kaavaehdotus-, Hyväksytty kaava -elinkaaritiloissa. Jos KaavanKeskeytystieto-luokka ilmenee muissa elinkaaritiloissa, palautetaan käyttäjälle virhe.",Keskeytystieto ei sallittu {0}-elinkaaritilassa,{0} = elinkaaritila,"Valmistelu, Kaavaehdotus, Muutettu kaavaehdotus, Hyväksytty kaava",Kaava.keskeytystieto,
108,quality/req-additionalinfotype-intendedusetargeting-buildingsite-coveredarea-value,"Kaavamääräyslajin ollessa rakennuspaikka tai rakennusala ja lisätiedonlajin ollessa käyttötarkoituskohdistus, tulee Lisätieto-luokan arvo-attribuutin olla kaavamääräyslajikoodiston arvo.","Kaavamääräyslajin ollessa rakennuspaikka tai rakennusala ja lisätiedonlajin ollessa käyttötarkoituskohdistus, tulee Lisätieto-luokan arvo-attribuutin olla kaavamääräyslajikoodiston arvo.",,"Valmistelu, Kaavaehdotus, Muutettu kaavaehdotus, Hyväksytty kaava, Lainvoimainen, Voimassa","Kaavamääräys.laji, Lisätieto.laji, Lisätieto.arvo",
109,quality/req-spatialplanregulationgrouprelations-key-not-found,Vastaavaa {luokka}Avain-attribuutin mukaista arvoa (GUID) ei löytynyt Kaavakohteilta tai Kaavamääräysryhmiltä.,Vastaavaa kohdetta {0} {1} ei löytynyt Kaavakohteelta tai Kaavamääräysryhmältä,"{0} = luokannimiavain, {1} = guid","Valmistelu, Kaavaehdotus, Muutettu kaavaehdotus, Hyväksytty kaava, Lainvoimainen, Voimassa","Kaavamääräysryhmä.kaavamääräysryhmäAvain, Kaavakohde.kaavakohdeAvain",
110,quality/req-phase-key-mismatch,URI-parametrissa oleva planMatterPhaseKey-avainarvo ja tallennussanoman KaavaAsianVaihe-luokan PlanMatterPhaseKey-attribuutin arvo eivät vastaa toisiaan.,URI-parametrissa oleva planMatterPhaseKey-avainarvo ja tallennussanoman KaavaAsianVaihe-luokan PlanMatterPhaseKey-attribuutin arvo eivät vastaa toisiaan.,,"Vireilletullut, Valmistelu, Kaavaehdotus, Muutettu kaavaehdotus, Hyväksytty kaava, Valituksen alainen, Oikaisukehotuksen alainen, Oikaisukehotuksen alainen ja valituksen alainen, Lainvoimainen, Voimassa, Kumoutunut, Rauennut, Hylätty, Keskeytetty",KaavaAsianVaihe.KaavaAsianVaiheAvain,
111,quality/req-planmatter-matching-given-identifier-not-found,Pysyvää kaavatunnusta ei löydy Ryhti-järjestelmästä. Uutta kaava-asian vaihetta ei pysty tallentamaan.,URI-parametrissa annetulla planMatterIdentifier-avainarvolla ei löyty Ryhti-järjestelmästä vastaavaa KaavaAsiaa. Uutta kaava-asian vaihetta ei voitu luoda.,,"Vireilletullut, Valmistelu, Kaavaehdotus, Muutettu kaavaehdotus, Hyväksytty kaava, Valituksen alainen, Oikaisukehotuksen alainen, Oikaisukehotuksen alainen ja valituksen alainen, Lainvoimainen, Voimassa, Kumoutunut, Rauennut, Hylätty, Keskeytetty",KaavaAsia.pysyväKaavaTunnus,
112,lifecycle/req-codelist-lifecycle-transitions-not-allowed,Kaavan elinkaarivaiheiden siirtymä ei ole sallittu. Esimerkiksi voimassaolevasta kaavasta ei voi siirtyä elinkaarentilaan kaavaehdotus.,Siirtymä elinkaaritilasta {0} elinkaaritilaan {1} ei ole sallittu. Tallennus epäonnistui.,"{0}=elinkaaritila, {1}=elinkaaritila","Vireilletullut, Valmistelu, Kaavaehdotus, Muutettu kaavaehdotus, Hyväksytty kaava, Valituksen alainen, Oikaisukehotuksen alainen, Oikaisukehotuksen alainen ja valituksen alainen, Lainvoimainen, Voimassa",KaavaAsianVaihe.elinkaaritila,
113,quality/req-codelist-planmatterdecision-bindingplotdivision-not-empty,Kun Kaavassa päätetään sekä kaavasta että sitovasta tonttijaosta (kaavapäätöksen nimi: Kaavan ja sitovan tonttijaon hyväksyminen) tulee olla pysyvä sitovan tonttijaon tunnus haettuna Ryhti-järjestelmästä ja attribuutti pysyväSitovanTonttijaontunnus ei saa olla tyhjä.,"KaavaAsia-luokan pysyväSitovanTonttijaonTunnus ei saa olla tyhjä, kun KaavaAsianPäätös-luokan nimi-attribuutin arvo on {0}",{0}=koodiarvo,"Vireilletullut, Valmistelu, Kaavaehdotus, Muutettu kaavaehdotus, Hyväksytty kaava, Valituksen alainen, Lainvoimainen, Voimassa","KaavaAsia.pysyväSitovanTonttijaonTunnus, KaavaAsianPäätös.nimi",
114,quality/req-attachment-mimetype,Liiteasiakirjan tulee olla muotoa pdf.,Liiteasiakirja-luokan tiedosto-attribuutin tiedoston mime-tyyppi ei ole kelvollinen. Mime-tyypin tulee olla application/pdf.,,"Vireilletullut, Valmistelu, Kaavaehdotus, Muutettu kaavaehdotus, Hyväksytty kaava, Valituksen alainen, Oikaisukehotuksen alainen, Oikaisukehotuksen alainen ja valituksen alainen, Lainvoimainen, Voimassa, Kumoutunut, Rauennut, Hylätty, Keskeytetty",Liiteasiakirja.tiedostoAvain,
115,lifecycle/req-period-of-validity-begin-not-allowed,Kaavan voimaan kuuluttamisen jälkeen voimassaoloAjan alkupäivämäärä on pakollinen Voimassa -vaiheessa. Alkupäivämäärä on voimaankuuluttamisen päivämäärä.,{0}-luokan voimassaoloAjan alkupäivämäärä on sallittu vain elinkaaritilassa {1},"{0} = luokka, {1] = elinkaari",Voimassa,"Kaava.voimassaoloAika , Kaavakohde.voimassaoloAika, Kaavamääräys.voimassaoloAika, Kaavasuositus.voimassaoloAika",
116,quality/req-time-period-end-must-be-bigger-than-begin,Aikajakson loppuajankohdan täytyy olla alkuajan jälkeen.,Aikajakson loppuaika täytyy olla suurempi kuin alkuaika,,,,
117,quality/req-invalid-query-param,Hyväksytään vain sallitun koodiston mukaisia arvoja.,Virheellinen {0} query parametri. Arvon kuuluttava koodistoon {1},"{0} = query parametri, {1} = koodisto",,,
118,quality/req-permanent-planidentifier-not-found,Pysyvä kaavatunnus on kirjoitettu väärin tai sitä ei ei ole.,Pysyvää kaavatunnusta {0} ei löydy. Joko pysyvä kaavatunnus on väärin tai sitä ei ole luotu.,{0} = pysyvän kaavatunnuksen arvo,"Vireilletullut, Valmistelu, Kaavaehdotus, Muutettu kaavaehdotus, Hyväksytty kaava, Valituksen alainen, Lainvoimainen, Voimassa",KaavaAsia.pysyväKaavaTunnus,
119,quality/req-permanent-planidentifier-mismatch-endpoint,"Kaavatunnus ei vastaa tällä rajapinnalla hyväksyttyä muotoa. Asemakaavalle, yleiskaavalle ja maakuntakaavalle on omat rajapintansa.",URI-parametrissa annettu avainarvo {0} ei vastaa tässä enpointissa odotettua muotoa.,{0} = pysyvän kaavatunnuksen arvo,"Vireilletullut, Valmistelu, Kaavaehdotus, Muutettu kaavaehdotus, Hyväksytty kaava, Valituksen alainen, Lainvoimainen, Voimassa",,
120,lifecycle/req-initial-planmatter-already-exists,Kaava Asia on jo luotu järjestelmään. Kaavan elinkaaren vaiheen lisäämiseen olemassa olevalla kaava-asialle onnistuu tämän APi-endpoint kautta: /api/LocalDetailedPlanMatter/{permanentPlanIdentifier}/phase/{planMatterPhaseKey},Pysyvän kaavatunnuksen {0} mukainen KaavaAsia on jo luotu Ryhti-järjestelmään. Lisää {1} elinkaaritila uutena vaiheena tai uutena versiona tämän rajapinnan kautta: /api/LocalDetailedPlanMatter/{permanentPlanIdentifier}/phase/{planMatterPhaseKey},"{0} = pysyvän kaavatunnuksen arvo, {1} = elinkaaritila","Vireilletullut, Valmistelu, Kaavaehdotus, Muutettu kaavaehdotus, Hyväksytty kaava, Valituksen alainen, Lainvoimainen, Voimassa",KaavaAsia.pysyväKaavaTunnus,
121,lifecycle/req-planmatterphase-key-already-exists,Kaava-asian vaihe on jo tuotu Ryhti-järjestelmään tällä KaavaAsianVaiheAvain-attribuutin arvolla (GUID). Voit tallentaa uuden vaiheen tai uuden version vaiheesta uudella KaavaAsianVaiheAvain- attribuutin arvolla (GUID).,Kaava-asian vaihe avaimella {0} on jo tallennettu Ryhti-järjestelmään. Lisää {1} elinkaaritila uutena vaiheena tai uutena versiona uudella kaava-asian vaiheavaimella tämän rajapinnan kautta: /api/LocalDetailedPlanMatter/{permanentPlanIdentifier}/phase/{planMatterPhaseKey},"{0} = kaava-asian avainarvo, {1} = elinkaaritila","Vireilletullut, Valmistelu, Kaavaehdotus, Muutettu kaavaehdotus, Hyväksytty kaava, Valituksen alainen, Lainvoimainen, Voimassa",KaavaAsianVaihe.KaavaAsianVaiheAvain,
122,lifecycle/req-class-key-already-exists,Järjestelmään on jo tallennettu tietoa tällä luokka-avaimella (GUID). Pitää luoda uusi avain (GUID) tälle luokan yksilölle.,Avainarvo {0} on jo olemassa.,{0}=avainattribuutin nimi,"Vireilletullut, Valmistelu, Kaavaehdotus, Muutettu kaavaehdotus, Hyväksytty kaava, Valituksen alainen, Oikaisukehotuksen alainen, Oikaisukehotuksen alainen ja valituksen alainen, Lainvoimainen, Voimassa, Kumoutunut, Rauennut, Hylätty, Keskeytetty",{Luokka}.{Luokka}Avain,
123,quality/req-geom-invalid-polygon-multipolygon,Virheellinen geometria. Geometrian on oltava polygon tai multipolygon.,Virheellinen geometria. Geometrian on oltava polygon tai multipolygon.,,"Vireilletullut, Valmistelu, Kaavaehdotus, Muutettu kaavaehdotus, Hyväksytty kaava, Valituksen alainen, Lainvoimainen, Voimassa",,
124,quality/req-geom-type-coordinates-mismatch,"Geometrian tyyppi (viiva, piste tai alue) ei vastaa annettuja koordinaatteja.",Geometrian koordinaatit eivät vastaa geometrian tyyppiä.,,"Vireilletullut, Valmistelu, Kaavaehdotus, Muutettu kaavaehdotus, Hyväksytty kaava, Valituksen alainen, Lainvoimainen, Voimassa",,
125,quality/req-geom-invalid,"Mikäli viiva on osa aluemaisen geometrian reunaviivaa, on sen oltava suljettu, eli sen alku- ja loppuppisteiden on oltava samat.

Viivamainen geometria ei saa leikata itseään.

Viivamainen geometrian tulee sisältää vähintään kaksi pistettä.

Aluemaisen geometrian ulkoreunan ja reikien reunaviivat eivät saa leikata itseään tai toisiaan. Kukin reunaviiva saa koskettaa alueen ulkoreunaa tai reiän reunaa, mukaan lukien se itse, vain yksittäisissä pisteissä.

Aluemaisen geometrian sisäosan on oltava yhtenevä, eli minkä tahansa kahden alueen sisäpisteen välillä on voitava muodostaa yhtenäinen käyrä, joka kulkee kokonaan alueen sisällä.

Aluemaisen geometrian sisäosan pinta-ala on oltava mitattavissa, eli alueeseen tulee sisältyä pisteitä, jotka eivät ole osa alueen ulkoreunaa.",Virheellinen geometria. Tarkasta geometrian koordinaatit.,,"Vireilletullut, Valmistelu, Kaavaehdotus, Muutettu kaavaehdotus, Hyväksytty kaava, Valituksen alainen, Lainvoimainen, Voimassa",,
126,quality/req-geom-outofbounds-finland,Geometria ei ole Suomen rajojen sisäpuolella.,Geometria ei ole Suomen rajojen sisällä. Tarkasta geometrian srid.,,"Vireilletullut, Valmistelu, Kaavaehdotus, Muutettu kaavaehdotus, Hyväksytty kaava, Valituksen alainen, Lainvoimainen, Voimassa","KaavaAsianVaihe.aluerajaus, Kaava.aluerajaus",
127,lifecycle/req-initial-lifecycle-not-allowed,"Kaava voidaan tuoda ensimmäisen kerran vain vaiheissa vireilletullut, valmistelu, kaavaehdotus, muutettu kaavaehdotus, hyväksytty kaava, valituksenalainen, voimassa. ","Virheellinen Kaava-asian ensimmäinen elinkaaren vaihe {0}. Sallitut ensimmäiset vaiheet: vireilletullut, valmistelu, kaavaehdotus, muutettu kaavaehdotus, hyväksytty kaava, valituksen alainen, voimassa",{0} = elinkaaritila,"Vireilletullut, Valmistelu, Kaavaehdotus, Muutettu kaavaehdotus, Hyväksytty kaava, Valituksen alainen, Voimassa",KaavaAsianVaihe.elinkaaritila,
128,lifecycle/req-plan-class-allowed-subject-appeal-lifecycle,Kaava-asian elinkaarivaiheessa valituksenalainen voi päätösluokan nimi olla 12 (kaavan hyväksyminen oikaisukehotuksenjohdosta) tai 13 (Kaavan tai sen osan kuuluttaminen voimaan ennen kaavan lainvoimaisuutta).,"Kaava-luokka sallittu KaavaAsiaVaihe-luokan elinkaarentilassa {0} ainoastaan, kun KaavaAsianPäätös-luokan nimi-attribuutti on {1} tai {2}","{0} = elinkaaritila, {1} = koodiarvo, {2} = koodiarvo",Valituksen alainen,"Kaava, KaavaAsianVaihe.elinkaaritila, KaavaAsianPäätös.nimi",{1}=http://uri.suomi.fi/codelist/rytj/kaavpaatnimi/code/12 {2}=http://uri.suomi.fi/codelist/rytj/kaavpaatnimi/code/13
129,lifecycle/req-plan-class-mandatory-subject-appeal-lifecycle,Elinkaarenvaiheen ollessa valituksenalainen ja kaavapäätöksen nimi on 12 ( Kaavan hyväksyminen oikaisukehotuksen johdosta) tai 13 (Kaavan tai sen osan kuuluttaminen voimaan ennen lainvoimaisuutta) tule mukana olla myös kaavaluokka.,"Kaava-luokka pakollinen KaavaAsiaVaihe-luokan elinkaarentilassa {0} silloin, kun KaavaAsianPäätös-luokan nimi-attribuutti on {1} tai {2}","{0} = elinkaaritila, {1} = koodiarvo, {2} = koodiarvo",Valituksen alainen,"Kaava, KaavaAsianVaihe.elinkaaritila, KaavaAsianPäätös.nimi",{1}=http://uri.suomi.fi/codelist/rytj/kaavpaatnimi/code/12 {2}=http://uri.suomi.fi/codelist/rytj/kaavpaatnimi/code/13
130,lifecycle/req-plan-class-lifecycle-approved-subject-appeal-lifecycle,"KaavanAsian elinkaari voi olla valituksenalainen, elinkaari voi olla valituksenalainen jos kaavapäätöksen nimi on 12 - Kaavan hyväksyminen oikaisukehotuksen johdosta.",Kaava-luokan elinkaaritila-attribuutin oltava {0} kun KaavaAsianVaihe-luokan elinkaaritila on {1} ja KaavaAsianPäätös-luokan nimi-attribuutti on {2},"{0}=koodiarvo, {1}=elinkaaritila, {2}=koodiarvo",Valituksen alainen,"Kaava.elinkaaritila, KaavaAsianVaihe.elinkaaritila, KaavaAsianPäätös.nimi",{0}=http://uri.suomi.fi/codelist/rytj/kaavaelinkaari/code/06 {2}=http://uri.suomi.fi/codelist/rytj/kaavpaatnimi/code/12
131,quality/req-permanentPlanIdentifier-does-not-match-plantype-expected-for-endpoint,URI-parametrissa annettu pysyvän kaavatunnuksen arvo ei vastaa rajapinnan olettamaa ylätason kaavalajia.,URI-parametrissa annettu pysyvän kaavatunnuksen arvo ei vastaa rajapinnan olettamaa ylätason kaavalajia.,,"Vireilletullut, Valmistelu, Kaavaehdotus, Muutettu kaavaehdotus, Hyväksytty kaava, Valituksen alainen, Lainvoimainen, Voimassa",,
132,quality/req-permanentIdentifier-mismatch,URI-parametrissa annettu pysyvän kaavatunnuksen arvo ei vastaa tallennussanoman pysyvää kaavatunnusta.,URI-parametrissa annettu pysyvän kaavatunnuksen arvo ei vastaa tallennussanoman pysyvää kaavatunnusta.,,"Vireilletullut, Valmistelu, Kaavaehdotus, Muutettu kaavaehdotus, Hyväksytty kaava, Valituksen alainen, Lainvoimainen, Voimassa",KaavaAsia.pysyväKaavaTunnus,
133,lifecycle/req-only-one-planmatterdecision-allowed-subject-appeal-lifecycle,"KaavaAsianVaihe-luokan elinkaaritila-attribuutin ollessa valituksen alainen, ei saa olla useampaa kuin yksi KaavaAsianPäätös-luokka","KaavaAsianVaihe-luokan elinkaaritila-attribuutin ollessa valituksen alainen, ei saa olla useampaa kuin yksi KaavaAsianPäätös-luokka",,Valituksen alainen,"KaavaAsianVaihe.elinkaaritila, KaavaAsianPäätös",
